Titre;Réalisateur;Date de sortie;Synopsis;Note Presse;Note Spectateurs;Score Recommandation;Amazon Prime Video;Canal VOD;Canal+;Disney+;Netflix;OCS;Paramount+;URL
Varsovie 83, une affaire d'État;Jan P. Matuszynski;4 mai 2022;Varsovie 1983. Le fils d’une militante proche de Solidarność est battu à mort par la police. Mensonges menaces : le régime totalitaire du Général Jaruzelski va tenter par tous les moyens d’empêcher la tenue d’un procès équitable.;3.8;4.0;61;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=284678.html
Predator;John McTiernan;19 août 1987;Le commando de forces spéciales mené par le major Dutch Schaeffer est engagé par la CIA pour sauver les survivants d’un crash d’hélicoptère au cœur d’une jungle d’Amérique Centrale. Sur place, Dutch et son équipe ne tardent pas à découvrir qu’ils sont pris en chasse par une mystérieuse créature invisible qui commence à les éliminer un par un. La traque commence.;3.8;--;47;;;;X;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=43225.html
Troisième étoile à droite;Hattie Dalton;7 octobre 2015;James et ses proches amis de toujours poursuivent un voyage malavisé le long des côtes maritimes du Pays-de-Galles. Dans cette aventure touchante et comique, l'amitié, l'héroïsme et l'amour vont se côtoyer.;4.0;--;?;X;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=192554.html
The Machinist;Brad Anderson;19 janvier 2005;Trevor Reznik est ouvrier dans une usine. Un métier répétitif, fatiguant, usant, au milieu d'un bruit assourdissant, où la moindre inattention peut avoir des conséquences dramatiques. Une attention que Trevor a du mal à maintenir, car il est très fatigué. En fait, Trevor n'a pas dormi depuis un an. Il partage ses nuits entre la cafétéria de l'aéroport, où il retrouve Marie, la serveuse, et l'appartement de la prostituée Stevie. Depuis quelque temps, la vie de Trevor devient de plus en plus étrange. Qui laisse des messages codés dans son appartement ? Pourquoi Marie ressemble-t-elle tant à sa mère ? Quant à Stevie, elle semble bien connaître le nouvel employé de l'usine, Ivan. Pourquoi ne lui a-t-elle rien dit ? Un homme d'ailleurs très étrange, cet Ivan. Inquiétant, dérangeant, il semble surveiller sans cesse Trevor...;3.8;4.0;52;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=52316.html
Festen;Thomas Vinterberg;23 décembre 1998;Le patriarche Helge Klingenfelt fait préparer une grande fête pour ses 60 ans. Parmi les convives, Christian, le fils aîné, est chargé par Helge de dire quelques mots au cours du dîner sur sa soeur jumelle Linda, morte un an plus tôt. Personne ne se doute que Christian va profiter de ce petit discours pour révéler de terribles secrets...;3.9;4.0;56;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=18644.html
Coupez!;Michel Hazanavicius;18 mai 2022;Un tournage de film de zombies dans un bâtiment désaffecté. Entre techniciens blasés et acteurs pas vraiment concernés, seul le réalisateur semble investi de l’énergie nécessaire pour donner vie à un énième film d'horreur à petit budget. L’irruption d’authentiques morts-vivants va perturber le tournage…;3.8;3.6;42;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=291483.html
Tetro;Francis Ford Coppola;23 décembre 2009;Tetro est un homme sans passé. Il y a dix ans, il a rompu tout lien avec sa famille pour s'exiler en Argentine.A l'aube de ses 18 ans, Bennie, son frère cadet, part le retrouver à Buenos Aires.Entre les deux frères, l'ombre d'un père despotique, illustre chef d'orchestre, continue de planer et de les opposer.Mais, Bennie veut comprendre. A tout prix. Quitte à rouvrir certaines blessures et à faire remonter à la surface des secrets de famille jusqu'ici bien enfouis.;3.8;3.7;41;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=126370.html
American History X;Tony Kaye;3 mars 1999;A travers l'histoire d'une famille américaine, ce film tente d'expliquer l'origine du racisme et de l'extrémisme aux États-Unis. Il raconte l'histoire de Derek qui, voulant venger la mort de son père, abattu par un dealer noir, a épousé les thèses racistes d'un groupuscule de militants d'extrême droite et s'est mis au service de son leader, brutal théoricien prônant la suprématie de la race blanche. Ces théories le mèneront à commettre un double meurtre entrainant son jeune frère, Danny, dans la spirale de la haine.;2.8;4.4;63;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=12475.html
Bandits, bandits;Terry Gilliam;10 mars 1982;"Pendant la nuit, Kevin, un petit garçon anglais, est visité par six nains qui ont dérobé à l'Être suprême la carte du Temps. L'enfant s'engage alors dans un voyage à travers l'Histoire : il fait la rencontre de Napoléon à la bataille de Castiglione ainsi que de Robin des Bois dans la forêt de Sherwood. Il croisera également sur son chemin le majestueux paquebot ""Titanic"".";3.0;--;43;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=26034.html
La Proie;Eric Valette;13 avril 2011;Un braqueur s’évade de prison pour traquer son ancien codétenu, un tueur en série qui a entrepris de lui coller ses crimes sur le dos. Une policière de la Brigade des Fugitifs se lance à la poursuite du braqueur, devenu bien malgré lui l’ennemi public numéro 1. Quand chacun des protagonistes aura été au bout de lui-même, qui sera le chasseur, et qui sera la proie ?;3.0;3.5;61;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=175909.html
La Ruse;John Madden;27 avril 2022;1943. Les Alliés sont résolus à briser la mainmise d’Hitler sur l’Europe occupée et envisagent un débarquement en Sicile. Mais ils se retrouvent face à un défi inextricable car il s’agit de protéger les troupes contre un massacre quasi assuré. Deux brillants officiers du renseignement britannique, Ewen Montagu et Charles Cholmondeley, sont chargés de mettre au point la plus improbable – et ingénieuse – propagande de guerre… qui s’appuie sur l’existence du cadavre d’un agent secret !;3.2;3.4;48;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=278318.html
Gandhi;Richard Attenborough;23 mars 1983;"Reconstitution historique à grand spectacle de la vie de celui que l'on surnomma le ""mahatma"". La carrière de Gandhi comme avocat débute en Afrique du Sud où il défend les droits de la minorité indienne, ce qui a un grand retentissement dans son pays. Plus tard, dans ses luttes contre les Anglais, il prônera toujours la non-violence et usera essentiellement de l'arme de la grève de la faim.";3.4;4.1;71;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=2596.html
Baisers cachés;Didier Bivel;17 mai 2016;Nouveau venu au lycée, Nathan, 16 ans, vit seul avec son père policier, Stéphane. Leurs rapports sont complices. Nathan est invité à une soirée où il flashe sur un garçon de sa classe. Ils se retrouvent à l’abri des regards et s’embrassent.Mais quelqu’un les observe en cachette et publie la photo de leur baiser sur facebook : la rumeur se répand sur le net et provoque le scandale au lycée et dans les familles. Stéphane découvre l’homosexualité de son fils. Il est choqué et se détourne de Nathan. Au lycée, les élèves harcèlent Nathan et s’interrogent sur l’identité de l’autre garçon. Nathan, amoureux, refuse de révéler l’identité de son amoureux et fait front contre les moqueries et le violence. Pourra-t-il compter sur son père ? Et sur celui qu’il aime ?;4.3;--;58;X;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=240236.html
Mulan;Tony Bancroft;25 novembre 1998;Mulan est une belle jeune fille qui vit dans un village chinois. Malgré son amour et son respect pour sa famille, son mépris des conventions l'éloigne des rôles dévolus aux filles dévouées. Quand son pays est envahi par les Huns, Mulan, n'écoutant que son courage, s'engage à la place de son père dans le but de lui sauver la vie. Elle va devenir, avec l'aide d'un dragon en quête de réhabilitation, un guerrier hors du commun.;4.2;4.1;64;;;;X;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=18793.html
Prêt-à-porter;Robert Altman;1 mars 1995;Paris, mars 1994. Chronique de la semaine du prêt-à-porter et du grand et petit monde qui gravite autour, le tout ponctué par un étrange décès.;2.0;--;?;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=11738.html
L.A. Confidential;Curtis Hanson;8 octobre 1997;Los Angeles, années 50. Alors que la ville est sujette à une vague de règlements de comptes après la chute du caïd Mickey Cohen, la police criminelle se mobilise toute entière sur l'affaire de L'Oiseau de nuit, un massacre au cours duquel est tombé un ancien flic. Trois inspecteurs au style radicalement différent vont être amenés à coopérer pour démêler les fils d'une histoire plus compliquée qu'il n'y paraît...;4.8;4.1;Non disponible;X;;;X;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=12032.html
Les Animaux Fantastiques : les Secrets de Dumbledore;David Yates;13 avril 2022;Le professeur Albus Dumbledore sait que le puissant mage noir Gellert Grindelwald cherche à prendre le contrôle du monde des sorciers. Incapable de l’empêcher d’agir seul, il sollicite le magizoologiste Norbert Dragonneau pour qu’il réunisse des sorciers, des sorcières et un boulanger moldu au sein d’une équipe intrépide. Leur mission des plus périlleuses les amènera à affronter des animaux, anciens et nouveaux, et les disciples de plus en plus nombreux de Grindelwald. Pourtant, dès lors que que les enjeux sont aussi élevés, Dumbledore pourra-t-il encore rester longtemps dans l’ombre ?;2.9;3.1;34;;X;;;X;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=228087.html
Maidan;Sergei Loznitsa;23 mai 2014;Maïdan, c'est la place centrale de Kiev, capitale de l'Ukraine. Dès novembre 2013, c'est là que des citoyens de tous âges et de toutes les confessions se rassemblent pour protester contre le régime du président Ianoukovitch. Il sera contraint à la démission, fin mars. De novembre à mars, Sergeï Loznitsa a filmé Maïdan.;2.8;--;?;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=228419.html
Une Vérité qui Dérange;Davis Guggenheim;11 octobre 2006;"L'humanité est assise sur une bombe à retardement. Les savants du monde entier s'accordent pour dire qu'il nous reste à peine dix ans pour éviter une catastrophe planétaire - un dérèglement majeur du système climatique qui entraînerait des perturbations météorologiques extrêmes, des inondations, de longues périodes de sécheresse, des vaguesde chaleur meurtrières.Cette catastrophe d'une ampleur sans précédent, nous en serions les premiers responsables ; nous seuls pouvons encore l'éviter.Plutôt que de sonner le tocsin de l'apocalypse ou de céder à la délectation morose, Une vérité qui dérange a choisi d'illustrer et de relayer l'action et le combat passionné d'un homme, l'ancien Vice-président Al Gore, qui depuis cinq ans sillonne les États-Unis pour persuader ses concitoyens de l'urgente nécessité de réagir à cette crise.";3.1;3.7;?;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=111289.html
La Sapienza;Eugène Green;25 mars 2015;À 50 ans, Alexandre a derrière lui une brillante carrière d’architecte. En proie à des doutes sur le sens de son travail et sur son mariage, il part en Italie accompagné de sa femme, avec le projet d’écrire un texte qu’il médite depuis longtemps sur l’architecte baroque Francesco Borromini. En arrivant à Stresa, sur les rives du Lac Majeur, ils font la rencontre de jeunes frère et soeur, qui donneront un tout autre tour à cette échappée italienne.;4.0;3.0;?;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=230286.html
La Main de Dieu;Paolo Sorrentino;15 décembre 2021;Naples dans les années 80. Fabietto Schisa, adolescent mal dans sa peau, vit avec sa famille excentrique et haute en couleurs. Mais son quotidien est soudain bouleversé lorsque Diego Maradona, légende planétaire du football, débarque à Naples et le sauve miraculeusement d’un terrible accident. Cette rencontre inattendue avec la star du ballon rond sera déterminante pour l’avenir du jeune homme. Avec La Main de Dieu, Sorrentino revient dans sa ville natale pour réaliser son film le plus personnel, qui mêle le destin et la famille, le sport et le cinéma, l’amour et les illusions perdues.;3.6;3.8;47;;;;;X;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=285129.html
Si on chantait;Fabrice Maruca;3 novembre 2021;"Quiévrechain, ville industrielle du nord de la France. Après la fermeture de leur usine, Franck, passionné de variété française décide d’entraîner ses anciens collègues, Sophie (dont il est secrètement amoureux), José (qui chante comme une casserole), et Jean-Claude (ancien cadre un peu trop fier) dans un projet un peu fou : monter une entreprise de livraisons de chansons à domicile, SI ON CHANTAIT ! Départs en retraite, anniversaires ; à force de débrouille, ils commencent à avoir de plus en plus de demandes. Mais entre chansons, tensions et problèmes de livraisons, les fausses notes vont être dures à éviter !";3.1;3.1;49;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=293966.html
House of Gucci;Ridley Scott;24 novembre 2021;Gucci est une marque reconnue et admirée dans le monde entier. Elle a été créée par Guccio Gucci qui a ouvert sa première boutique d’articles de cuir de luxe à Florence il y a exactement un siècle. À la fin des années 1970, l’empire italien de la mode est à un tournant critique de son histoire. Si l’entreprise rayonne désormais à l’international, elle est handicapée par des rumeurs de malversations financières, une innovation en berne et une dévalorisation de la marque. Le groupe est dirigé par les deux fils du fondateur – Aldo, personnage rusé et haut en couleur, et son frère Rodolfo, beaucoup plus froid et traditionnel. Pugnace, Aldo n’a pas la moindre intention de céder le contrôle de l’empire à qui que ce soit – et certainement pas à son fils Paolo, garçon fantaisiste qui aspire à devenir styliste. Quant à Maurizio, fils timide et surprotégé de Rodolfo, il a davantage envie d’étudier le droit que de diriger un groupe de luxe mondialisé. C’est alors que Maurizio tombe amoureux de la ravissante et manipulatrice Patrizia Reggiani et, contre l’avis de son père, décide de l’épouser. Lorsque Aldo se découvre des affinités avec Patrizia, il réussit, avec l’aide de la jeune femme, à convaincre son neveu de renoncer à ses ambitions juridiques pour intégrer l’entreprise dont il devient, de facto, le probable héritier. Ce qui ne manque pas de nourrir la rancoeur de Paolo, dont le talent n’est pas à la hauteur de ses rêves artistiques…;2.9;3.6;43;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=278661.html
Le Dernier duel;Ridley Scott;13 octobre 2021;D'après l'ouvrage Le Dernier Duel : Paris, 29 décembre 1386 d'Eric Jager.Basé sur des événements réels, le film dévoile d’anciennes hypothèses sur le dernier duel judiciaire connu en France - également nommé « Jugement de Dieu » - entre Jean de Carrouges et Jacques Le Gris, deux amis devenus au fil du temps des rivaux acharnés. Carrouges est un chevalier respecté, connu pour sa bravoure et son habileté sur le champ de bataille. Le Gris est un écuyer normand dont l'intelligence et l'éloquence font de lui l'un des nobles les plus admirés de la cour. Lorsque Marguerite, la femme de Carrouges, est violemment agressée par Le Gris - une accusation que ce dernier récuse - elle refuse de garder le silence, n’hésitant pas à dénoncer son agresseur et à s’imposer dans un acte de bravoure et de défi qui met sa vie en danger. L'épreuve de combat qui s'ensuit - un éprouvant duel à mort - place la destinée de chacun d’eux entre les mains de Dieu.;3.9;4.1;57;;;;X;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=233330.html
WarGames;John Badham;14 décembre 1983;David Lightman est plus intéressé par son ordinateur que par ses études, ce qui ne l'inquiète pas puisqu'il se sait capable de modifier lui-même ses notes en agissant sur l'ordinateur de l'école. Un jour, en cherchant à percer le code d'accès d'un nouveau jeu vidéo, il se branche accidentellement sur l'ordinateur du département de la Défense qui prend au sérieux ce qui n'était au départ qu'un jeu...;3.5;--;64;X;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=51719.html
Les Héroïques;Maxime Roy;20 octobre 2021;Michel, ancien junkie, est un éternel gamin qui ne rêve que de motos et traine avec son grand fils Léo et ses copains. À cinquante ans, il doit gérer le bébé qu’il vient d’avoir avec son ex, et se bat pour ne pas répéter les mêmes erreurs et être un mec bien.;3.4;3.5;38;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=272219.html
The Great Hack : L'affaire Cambridge Analytica;Karim Amer;28 avril 2020;Ils ont pris vos données, puis ils ont pris le contrôle. Ce documentaire met en lumière le sombre univers de l'exploitation des données informatiques à travers de passionnants récits personnels des différentes parties impliquées dans le scandale Cambridge Analytica/Facebook.;2.8;--;47;;;;;X;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=274797.html
Certains l'aiment chaud;Billy Wilder;9 septembre 1959;Deux musiciens de jazz au chômage, mêlés involontairement à un règlement de comptes entre gangsters, se transforment en musiciennes pour leur échapper. Ils partent en Floride avec un orchestre féminin. Ils tombent illico amoureux d'une ravissante et blonde créature, Alouette, qui veut épouser un milliardaire.;3.2;4.3;81;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=26186.html
Madeleine Collins;Antoine Barraud;22 décembre 2021;Judith mène une double vie entre la Suisse et la France. D’un côté Abdel, avec qui elle élève une petite fille, de l’autre Melvil, avec qui elle a deux garçons plus âgés. Peu à peu, cet équilibre fragile fait de mensonges, de secrets et d’allers-retours se fissure dangereusement. Prise au piège, Judith choisit la fuite en avant, l’escalade vertigineuse.;3.7;3.2;35;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=277500.html
Tampopo;Jûzô Itami;25 novembre 1987;Tampopo, une jeune veuve, gère, sans succès, un petit restaurant de « ramen » (soupe de nouilles) dans un quartier populaire de Tokyo. Sa vie va basculer le jour où un client, Goro, routier à la dégaine de cow-boy et fin gourmet, décide de lui enseigner l'art et la manière de cuisiner les nouilles. Leur histoire croisera aussi les aventures érotico-alimentaires d'un homme en complet blanc, l'obsession compulsive d'une vieille dame, le dernier repas d'une mère de famille, un dîner d'affaires...;4.1;--;57;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=2857.html
Un Triomphe;Emmanuel Courcol;1 septembre 2021;Un acteur en galère accepte pour boucler ses fins de mois d’animer un atelier théâtre en prison. Surpris par les talents de comédien des détenus, il se met en tête de monter avec eux une pièce sur la scène d’un vrai théâtre. Commence alors une formidable aventure humaine. Inspiré d’une histoire vraie.;3.8;3.8;57;;X;;;X;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=277478.html
Stupeur et tremblements;Alain Corneau;12 mars 2003;Amélie, une jeune femme belge, vient de terminer ses études universitaires. Sa connaissance parfaite du japonais, langue qu'elle maîtrise pour y avoir vécu étant plus jeune, lui permet de décrocher un contrat d'un an dans une prestigieuse entreprise de l'empire du soleil levant, la compagnie Yumimoto. Fascinée par la hiérarchie d'entreprise japonaise, précise et méthodique, la jeune femme l'est d'autant plus par sa supérieure directe, l'intrigante et fière Mademoiselle Mori.Pourtant, Amélie va rapidement déchanter à la découverte d'une culture qu'elle ne connaît absolument pas. Ses fréquentes initiatives sont régulièrement sujettes aux réprobations de ses supérieurs. Face à cet acharnement, la jeune femme se plie à leurs exigences. Jusqu'à être mutée dans les toilettes.;3.6;2.9;58;;X;X;;;X;;https://www.allocine.fr/film/fichefilm_gen_cfilm=46397.html
Flight;Robert Zemeckis;13 février 2013;Whip Whitaker, pilote de ligne chevronné, réussit miraculeusement à faire atterrir son avion en catastrophe après un accident en plein ciel… L’enquête qui suit fait naître de nombreuses interrogations… Que s’est-il réellement passé à bord du vol 227 ? Salué comme un héros après le crash, Whip va soudain voir sa vie entière être exposée en pleine lumière.;3.2;3.7;51;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=193101.html
La Mouche;David Cronenberg;21 janvier 1987;"Seth Brundle est un jeune biologiste très doué. Après avoir fait ses premières armes dans une brillante équipe, il se décide à travailler seul. Il met au point une invention qui doit révolutionner le monde : la ""téléportation"", qui consiste à transporter la matière à travers l'espace. Les essais sur un babouin sont peu convaincants et après des fuites dans la presse, il décide de se téléporter lui-même. Seulement il ne s'aperçoit pas qu'une mouche fait partie du voyage.";4.8;3.9;50;;;;X;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=2460.html
Un homme idéal;Yann Gozlan;18 mars 2015;Mathieu, 25 ans, aspire depuis toujours à devenir un auteur reconnu. Un rêve qui lui semble inaccessible car malgré tous ses efforts, il n’a jamais réussi à être édité. En attendant, il gagne sa vie en travaillant chez son oncle qui dirige une société de déménagement…Son destin bascule le jour où il tombe par hasard sur le manuscrit d’un vieil homme solitaire qui vient de décéder. Mathieu hésite avant finalement de s’en emparer, et de signer le texte de son nom...Devenu le nouvel espoir le plus en vue de la littérature française, et alors que l’attente autour de son second roman devient chaque jour plus pressante, Mathieu va plonger dans une spirale mensongère et criminelle pour préserver à tout prix son secret…;3.2;3.8;52;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=227602.html
Zack Snyder's Justice League;Zack Snyder;17 mars 2021;"Bruce Wayne est déterminé à faire en sorte que le sacrifice ultime de Superman ne soit pas vain; pour cela, avec l'aide de Diana Prince, il met en place un plan pour recruter une équipe de métahumains afin de protéger le monde d'une menace apocalyptique imminente. La tâche s'avère plus difficile que Bruce ne l'imaginait, car chacune des recrues doit faire face aux démons de son passé et les surpasser pour se rassembler et former une ligue de héros sans précédent. Désormais unis, Batman, Wonder Woman, Aquaman, Cyborg et Flash réussiront-ils à sauver la planète de Steppenwolf, DeSaad, Darkseid et de leurs terribles intentions ?";3.6;4.1;31;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=283327.html
A la recherche de Vivian Maier;Charlie Siskel;2 juillet 2014;L’incroyable histoire d’une mystérieuse inconnue, photographe reconnue aujourd’hui comme l’une des plus grandes Street Photographers du 20ème siècle. Née à New York, d’une mère française, avant de résider à Chicago, Vivian Maier était inséparable de son Rolleiflex et prit tout au long de son existence plus de 100 000 photographies sans jamais les montrer. Pour être libre d’exercer son art quand elle le voulait, Vivian Maier fut une nanny excentrique toute sa vie. Cachées dans un garde-meuble, c’est par hasard que John Maloof mit la main sur les photos de Vivian Maier en 2007. Depuis, il n’a cessé de chercher à mettre en lumière son travail et les expositions se multiplient partout dans le monde.A LA RECHERCHE DE VIVIAN MAIER ou la découverte de la vie et du regard hors du commun de cette femme sur le monde.;3.8;4.1;70;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=224105.html
Loin de la terre brûlée;Guillermo Arriaga;11 mars 2009;"Dans le désert du Nouveau Mexique, une caravane explose mystérieusement, à l'intérieur ; Gina et Nick, son amant secret, meurent. Une quinzaine d'années plus tard, à Portland, Sylvia, jeune femme perdue qui multiplie les conquêtes amoureuses est poursuivie par un homme étrange... Deux histoires de femmes se percutent à travers le temps, des vies s'entremêlent et les relations s'enflamment...";3.2;3.4;51;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=130053.html
Joy;David O. Russell;30 décembre 2015;Inspiré d'une histoire vraie, JOY décrit le fascinant et émouvant parcours, sur 40 ans, d'une femme farouchement déterminée à réussir, en dépit de son excentrique et dysfonctionnelle famille, et à fonder un empire d’un milliard de dollars. Au-delà de la femme d’exception, Joy incarne le rêve américain dans cette comédie dramatique, mêlant portrait de famille, trahisons, déraison et sentiments.;3.0;3.5;51;;;;X;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=226879.html
Red Sparrow;Francis Lawrence;4 avril 2018;Une jeune ballerine, dont la carrière est brisée nette après une chute, est recrutée contre sa volonté par les services secrets russes. Entraînée à utiliser ses charmes et son corps comme des armes, elle découvre l’ampleur de son nouveau pouvoir et devient rapidement l’un de leurs meilleurs agents.Sa première cible est un agent infiltré de la CIA en Russie. Entre manipulation et séduction, un jeu dangereux s’installe entre eux.;2.8;3.6;43;X;;;X;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=223313.html
Drive My Car;Ryūsuke Hamaguchi;18 août 2021;Adaptation d'un extrait du recueil Des hommes sans femmes de Haruki Murakami.Alors qu'il n'arrive toujours pas à se remettre d'un drame personnel, Yusuke Kafuku, acteur et metteur en scène de théâtre, accepte de monter Oncle Vania dans un festival, à Hiroshima. Il y fait la connaissance de Misaki, une jeune femme réservée qu'on lui a assignée comme chauffeure. Au fil des trajets, la sincérité croissante de leurs échanges les oblige à faire face à leur passé.;4.6;3.9;50;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=293106.html
Illusions Perdues;Xavier Giannoli;20 octobre 2021;Lucien est un jeune poète inconnu dans la France du XIXème siècle. Il a de grandes espérances et veut se forger un destin. Il quitte l’imprimerie familiale de sa province natale pour tenter sa chance à Paris, au bras de sa protectrice. Bientôt livré à lui-même dans la ville fabuleuse, le jeune homme va découvrir les coulisses d’un monde voué à la loi du profit et des faux-semblants. Une comédie humaine où tout s’achète et se vend, la littérature comme la presse, la politique comme les sentiments, les réputations comme les âmes. Il va aimer, il va souffrir, et survivre à ses illusions.;4.0;4.3;65;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=273621.html
Curiosa;Lou Jeunet;3 avril 2019;Pour éponger les dettes de son père, Marie de Héredia épouse le poète Henri de Régnier, mais c’est Pierre Louÿs qu’elle aime, poète également, érotomane et grand voyageur.C’est avec lui qu’elle va vivre une initiation à l’amour et à l’érotisme à travers la liaison photographique et littéraire qu’ils s’inventent ensemble.;2.9;2.7;22;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=260368.html
Le Pont des Espions;Steven Spielberg;2 décembre 2015;James Donovan, un avocat de Brooklyn se retrouve plongé au cœur de la guerre froide lorsque la CIA l’envoie accomplir une mission presque impossible : négocier la libération du pilote d’un avion espion américain U-2 qui a été capturé.;3.9;4.0;65;;;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=228473.html
Fisherman's Friends;Chris Foggin;7 juillet 2021;Danny, un producteur de musique londonien branché se rend en Cornouailles pour un enterrement de vie de garçon. Quand son patron et ami lui lance le défi de faire signer un contrat aux pécheurs du coin pour un album de chants de marins, Danny tombe dans le panneau. Bien loin de ses repères citadins, il tente tant bien que mal de gagner la confiance de cet improbable boys band, qui accorde plus d'importance à l'amitié qu'à la célébrité.;2.9;3.0;63;X;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=267321.html
The Escort;Will Slocombe;8 juin 2020;Un journaliste accro au sexe et en manque de bonne histoire décide de s'inscrire dans une agence d'escort-girl.;2.8;--;41;X;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=239830.html
Un héros très discret;Jacques Audiard;15 mai 1996;Dans l'époque trouble et confuse de l'hiver 1944-1945, à Paris, un homme qui n'a pas participé à la guerre va se faire passer pour un héros en s'inventant une vie admirable. A force de mensonge, il va construire par omissions et allusions un personnage hors du commun.;3.5;--;49;;X;;;;X;;https://www.allocine.fr/film/fichefilm_gen_cfilm=14666.html
Beauté cachée;David Frankel;21 décembre 2016;Suite à une terrible tragédie, un publicitaire new-yorkais à la réussite exemplaire sombre dans la dépression. Ses collègues échafaudent alors un stratagème radical pour l'obliger à affronter sa souffrance de manière inattendue…;1.9;3.7;52;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=238310.html
Mon Oncle d'Amérique;Alain Resnais;21 mai 1980;Jean Le Gall, issu de la bourgeoisie, ambitieux, mène une carrière politique et littéraire. Pour la comédienne Janine Garnier, il abandonne sa femme et ses enfants. Janine a quitté sa famille, de modestes militants communistes, pour vivre sa vie. À la demande de la femme de Jean, elle le quitte, puis devient conseillère d’un groupe textile où elle doit résoudre le cas difficile de René Ragueneau, fils de paysan, catholique, devenu directeur d’usine. Le professeur Henri Laborit intervient au cours de ces trois récits entremêlés pour expliquer ce que nous savons aujourd’hui du comportement humain.;3.6;--;52;;X;;;;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=2124.html
Le Maître du jeu;Gary Fleder;17 mars 2004;"Trois ans après l'assassinat de son mari et de onze de ses collègues sous les balles d'un tueur fou, Celeste Wood espère que soient sanctionnés les fabricants d'armes impliqués dans ce tragique fait divers. Décidé à gagner ce combat, l'avocat de la plaignante, Wendall Rohr est un homme pétri de principes généreux, un modèle de probité et de courtoisie sudiste. Face à lui, le défenseur des armes Vicksburg est en réalité un pantin entre les mains du ""consultant en jury"" Rankin Fitch, payé pour assurer sa relaxe. Cet homme de terrain aguerri a déployé des moyens humains et techniques considérables pour s'assurer le contrôle du jury. Un seul juré a échappé à ses investigations : Nick. Alors même que Fitch commence à s'interroger sur le passé et l'identité de ce dernier, une femme mystérieuse offre de lui ""livrer"" le jury, clés en main, pour dix millions de dollars...";3.7;3.6;70;;;;;X;;;https://www.allocine.fr/film/fichefilm_gen_cfilm=43930.html
